WEEK,SALE_PERIOD,TOTAL_$,SalesCustomerTypeName,PRODUCT_CATEGORY,UNIT_OF_MEASURE,TOTAL_UNITS
CURRENT WEEK,2018-11-20 -2022-12-11,366.42,Consumer,Concentrate (Bulk),Milligrams,6
CURRENT WEEK,2022-12-13,550351.91,Consumer,Raw Pre-Rolls,Grams,33883
CURRENT WEEK,2022-12-12,20141.61,Consumer,Infused Beverage,Each,1324
CURRENT WEEK,2022-12-14,538577.23,Consumer,Infused (edible),Each,19816
CURRENT WEEK,2018-11-20 -2022-12-11,327016.01,Consumer,Concentrate (Bulk),Grams,5966
CURRENT WEEK,2022-12-13,721809.71,Consumer,Vape Product,Each,16438
CURRENT WEEK,2022-12-12,1268096.69,Consumer,Buds,Grams,30059
CURRENT WEEK,2018-11-20 -2022-12-11,27812324.21,Consumer,Infused (non-edible),Each,528009
CURRENT WEEK,2022-12-12,137.63,Consumer,Infused Pre-Rolls,Milligrams,3
CURRENT WEEK,2022-12-18,39716.59,Consumer,Infused Beverage,Each,2544
CURRENT WEEK,2018-11-20 -2022-12-11,122,Consumer,Raw Pre-Rolls,Kilograms,7
CURRENT WEEK,2022-12-15,661.91,Consumer,Concentrate (Bulk),Grams,23
CURRENT WEEK,2022-12-16,30,Consumer,Shake/Trim,Kilograms,1
CURRENT WEEK,2018-11-20 -2022-12-11,167881.45,Consumer,Concentrate,Milligrams,3522
CURRENT WEEK,2022-12-14,825673.42,Consumer,Vape Product,Each,18346
CURRENT WEEK,2018-11-20 -2022-12-11,59347.94,Consumer,Concentrate (Each),Grams,966
CURRENT WEEK,2022-12-17,700.39,Consumer,Concentrate (Bulk),Grams,18
CURRENT WEEK,2022-12-17,177,Consumer,Suppository,Each,3
CURRENT WEEK,2022-12-17,60619.09,Consumer,Infused Beverage,Each,4030
CURRENT WEEK,2018-11-20 -2022-12-11,575728.31,Consumer,Concentrate,Each,7538
CURRENT WEEK,2018-11-20 -2022-12-11,452,Consumer,Infused Beverages (Bulk),Milliliters,21
CURRENT WEEK,2022-12-16,679628.31,Consumer,Infused (edible),Each,26010
CURRENT WEEK,2022-12-15,35339.8,Consumer,Infused Beverage,Each,2408
CURRENT WEEK,2018-11-20 -2022-12-11,19658098.6,Consumer,Concentrate,Grams,295967
CURRENT WEEK,2022-12-13,1241.5,Consumer,Immature Plants,Each,24
CURRENT WEEK,2018-11-20 -2022-12-11,8969.81,Consumer,Raw Pre-Rolls,Each,500
CURRENT WEEK,2022-12-13,2255.23,Consumer,Kief,Grams,106
CURRENT WEEK,2018-11-20 -2022-12-11,2477,Consumer,Shake/Trim (by strain),Each,158
CURRENT WEEK,2022-12-16,27.77,Consumer,Buds,Pounds,1
CURRENT WEEK,2022-12-13,480929.76,Consumer,Infused (edible),Each,17803
CURRENT WEEK,2018-11-20 -2022-12-11,72,Consumer,Raw Pre-Rolls,Ounces,2
CURRENT WEEK,2022-12-12,34903.18,Consumer,Infused Pre-Rolls,Grams,1365
CURRENT WEEK,2022-12-13,39131.79,Consumer,Infused Pre-Rolls,Grams,1453
CURRENT WEEK,2022-12-12,9218.47,Consumer,Concentrate,Grams,226
CURRENT WEEK,2022-12-14,7891.23,Consumer,Infused (non-edible),Each,154
CURRENT WEEK,2022-12-18,48328.33,Consumer,Infused Pre-Rolls,Grams,1822
CURRENT WEEK,2022-12-15,57,Consumer,Suppository,Each,1
CURRENT WEEK,2022-12-14,120,Consumer,Buds,Pounds,2
CURRENT WEEK,2022-12-16,2619.84,Consumer,Kief,Grams,119
CURRENT WEEK,2022-12-13,633.66,Consumer,Infused Pre-Rolls,Milligrams,19
CURRENT WEEK,2018-11-20 -2022-12-11,3723,Consumer,Shake/Trim,Ounces,145
CURRENT WEEK,2022-12-16,41432.05,Consumer,Infused Beverage,Each,2805
CURRENT WEEK,2018-11-20 -2022-12-11,686229595.25,Consumer,Vape Product,Each,11743659
CURRENT WEEK,2022-12-17,209,Consumer,Concentrate,Milligrams,4
CURRENT WEEK,2022-12-16,528.16,Consumer,Concentrate,Milligrams,9
CURRENT WEEK,2022-12-12,420140.92,Consumer,Infused (edible),Each,15989
CURRENT WEEK,2022-12-16,606.91,Consumer,Infused Pre-Rolls,Milligrams,26
CURRENT WEEK,2022-12-12,688.4,Consumer,Concentrate (Bulk),Grams,17
CURRENT WEEK,2022-12-15,17224.47,Consumer,Shake/Trim,Grams,394
CURRENT WEEK,2022-12-18,330,Consumer,Concentrate,Milligrams,6
CURRENT WEEK,2022-12-15,938263.3,Consumer,Vape Product,Each,21137
CURRENT WEEK,2022-12-18,421.2,Consumer,Concentrate (Bulk),Grams,16
CURRENT WEEK,2018-11-20 -2022-12-11,5736.95,Consumer,Concentrate,Kilograms,76
CURRENT WEEK,2022-12-14,712.63,Consumer,Infused Pre-Rolls,Milligrams,22
CURRENT WEEK,2022-12-12,490,Consumer,Immature Plants,Each,6
CURRENT WEEK,2022-12-14,2610.06,Consumer,Kief,Grams,104
CURRENT WEEK,2022-12-14,1511034.57,Consumer,Buds,Grams,34982
CURRENT WEEK,2018-11-20 -2022-12-11,2396987.33,Consumer,Buds,Each,125380
CURRENT WEEK,2022-12-12,697212.03,Consumer,Vape Product,Each,15783
CURRENT WEEK,2018-11-20 -2022-12-11,32674532.26,Consumer,Shake/Trim (by strain),Grams,969372
CURRENT WEEK,2022-12-13,170.54,Consumer,Buds,Pounds,2
CURRENT WEEK,2018-11-20 -2022-12-11,323960176.13,Consumer,Concentrate (Each),Each,5672792
CURRENT WEEK,2022-12-15,13613.84,Consumer,Concentrate,Grams,344
